"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-08-31,41491,"Vicksburg","MS","Vicksburg","Warren",886,119000,0.00421940928270042,0.00847457627118644,0.0127659574468085,0.0267212024960843,0.00500923722177227,"2016-11","2016-Q4",123600,-0.0372168284789644,"2016-10"
2017-08-31,7153,"South Hill","WA","Seattle","Pierce",887,302300,0.00431893687707641,0.0230118443316413,0.097676107480029,0.0832205230319733,0.0049624354218667,"2017-08","2017-Q3",302300,0,"2017-08"
2017-08-31,30788,"Cathedral City","CA","Riverside","Riverside",888,269300,0.00597683974598431,0.0162264150943396,0.0694996028594122,0.111137604606561,-0.0170093844496305,"2006-06","2006-Q2",370000,-0.272162162162162,"2004-09"
2017-08-31,45893,"Irondequoit","NY","Rochester","Monroe",889,114800,-0.0111972437553833,-0.0574712643678161,-0.00863557858376511,0.0124744876762166,0.00753288033418187,"2017-05","2017-Q2",121800,-0.0574712643678161,"2015-12"
2017-08-31,4854,"Garner","NC","Raleigh","Wake",890,184000,0.00656455142231947,0.0205213533000555,0.0722610722610723,0.0472093747406817,0.0205721505015337,"2017-08","2017-Q3",184000,0,"2017-08"
2017-08-31,264393,"Binghamton","NY","Binghamton","Broome",891,76500,0.00790513833992095,0.0159362549800797,0.0595567867036011,0.00504271864745975,-0.00545369677365892,"2008-05","2008-Q2",83900,-0.0882002383790226,"2007-03"
2017-08-31,54450,"Smyrna","TN","Nashville","Rutherford",892,196400,0.00976863753213368,0.0353189246178176,0.114642451759364,0.0754785832799372,0.0283513036960941,"2017-08","2017-Q3",196400,0,"2017-08"
2017-08-31,46465,"Mc Lean","VA","Washington","Fairfax",893,885600,0.00147008933619812,-0.00214084507042254,0.00877093062991229,0.0232131045874955,0.010736409162303,"2017-01","2017-Q1",904700,-0.021111970819056,"2016-10"
2017-08-31,13678,"Salina","KS","Salina","Saline",894,107100,0.00187090739008419,0.0170940170940171,0.0170940170940171,0.0123996819616823,,"2017-08","2017-Q3",107100,0,"2017-08"
2017-08-31,12426,"Lombard","IL","Chicago","Du Page",895,256100,0.00392003136025088,0.0142574257425743,0.0755984880302394,0.0537669923567419,-0.00866984361882739,"2007-04","2007-Q2",283700,-0.0972858653507226,"2005-02"
2017-08-31,30993,"Columbia","TN","Nashville","Maury",896,157300,0.00962772785622593,0.0355497037524687,0.176514584891548,0.0781048342382635,0.034272307433354,"2017-08","2017-Q3",157300,0,"2017-08"
2017-08-31,33151,"North Fort Myers","FL","Fort Myers","Lee",897,172300,0.00937316930287053,0.0153211549793754,0.0467800729040097,0.10224430461114,-0.00999125751868657,"2006-04","2006-Q2",247200,-0.302993527508091,"2005-02"
2017-08-31,26512,"Pinellas Park","FL","Tampa","Pinellas",898,157400,0.00639386189258312,0.0161394448030988,0.10146955913226,0.137090099620278,-0.00113644749657882,"2006-10","2006-Q4",172600,-0.0880648899188876,"2005-10"
2017-08-31,13370,"Portage","MI","Kalamazoo","Kalamazoo",899,159600,0.00503778337531486,0.020460358056266,0.064,0.0579893110716263,0.00860130613317667,"2017-08","2017-Q3",159600,0,"2017-08"
2017-08-31,11274,"El Centro","CA","El Centro","Imperial",900,194100,0.00310077519379845,0.0109375,0.0526030368763557,0.0883685832094463,-0.0218957642394905,"2006-08","2006-Q3",264900,-0.26727066817667,"2004-12"
2017-08-31,12157,"Kaneohe","HI","Urban Honolulu","Honolulu",901,805900,0.00174021131137352,0.0029869321717486,0.0588621731704112,0.0589524202666438,0.0226794491448719,"2017-08","2017-Q3",805900,0,"2017-08"
2017-08-31,51441,"Clayton","NC","Raleigh","Johnston",902,192600,0.00784929356357928,0.0212089077412513,0.0899830220713073,0.0411907734865118,0.0129778112437895,"2017-08","2017-Q3",192600,0,"2017-08"
2017-08-31,24420,"Downers Grove","IL","Chicago","Du Page",903,323600,0.000618429189857761,0.0084138360860081,0.040180006428801,0.0385791222283696,-0.00820782936699538,"2007-08","2007-Q3",351400,-0.0791121229368241,"2005-07"
