"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"Edgewater","NJ","New York","Bergen",3620,2719,0.00927988121752042,0.0156892043332088,-0.0247489239598278,2296
2017-08-31,"Glen Rock","NJ","New York","Bergen",3621,2928,0.0113989637305699,0.00514933058702369,-0.00846596681341009,3963
2017-08-31,"Milford","DE","Salisbury","Sussex",3622,1235,0.00243506493506494,-0.00322841000807102,-0.0389105058365759,6486
2017-08-31,"Saint Clairsville","OH","Wheeling","Belmont",3623,1239,-0.0190023752969121,0.0081366965012205,-0.116262482168331,5079
2017-08-31,"Rehoboth","MA","Providence","Bristol",3624,2106,0.0223300970873786,0.00958772770853308,-0.00894117647058824,3917
2017-08-31,"Osceola","IN","South Bend","Saint Joseph",3625,1387,-0.0142146410803127,-0.0106990014265335,0.0603975535168196,5879
2017-08-31,"Brownfield","TX",,"Terry",3626,983,0.00408580183861083,0.0165460186142709,0.00408580183861083,3289
2017-08-31,"Towamencin Township","PA","Philadelphia","Montgomery",3627,2174,0.0139925373134328,0.0347453593526892,0.0102230483271375,2501
2017-08-31,"Wilton Manors","FL","Miami-Fort Lauderdale","Broward",3628,2232,-0.00268096514745308,0,-0.0253275109170306,3617
2017-08-31,"East Bethel","MN","Minneapolis-St Paul","Anoka",3629,1584,0.00380228136882129,0.0212765957446809,0.056,4700
2017-08-31,"Luray","VA",,"Page",3630,1189,0.0016849199663016,0.000841750841750842,-0.0238095238095238,4984
2017-08-31,"Orosi","CA","Visalia","Tulare",3631,1092,0,0.00367647058823529,0.0292177191328935,1723
2017-08-31,"Town of Athol","MA","Worcester","Worcester",3632,1319,0.0061022120518688,0.00840978593272171,0.0476568705321684,3448
2017-08-31,"Whitefish","MT","Kalispell","Flathead",3633,1714,0.0343995171997586,0.0692451653150343,0.0300480769230769,4617
2017-08-31,"Vadnais Heights","MN","Minneapolis-St Paul","Ramsey",3634,1690,0.0180722891566265,0.0330073349633252,0.0342717258261934,3040
2017-08-31,"Pedley","CA","Riverside","Riverside",3635,1972,0.00203252032520325,0.00663603879530373,0.0752453653217012,3350
2017-08-31,"Chaparral","NM","Las Cruces","Dona Ana",3636,864,0.00232018561484919,0.0128956623681125,0.023696682464455,1479
2017-08-31,"Eagle Point","OR","Medford","Jackson",3637,1540,0.00785340314136126,0.023936170212766,0.0547945205479452,2901
2017-08-31,"Hazel Dell North","WA","Portland","Clark",3638,1701,0.00829875518672199,0.0203959208158368,0.0552109181141439,3484
2017-08-31,"Lewisboro","NY","New York","Westchester",3639,3339,-0.0173631547969394,-0.0771144278606965,-0.152107668867445,4046
2017-08-31,"Town of Bath","NY","Corning","Steuben",3640,1154,-0.00688468158347677,-0.0383333333333333,-0.110254433307633,2423
2017-08-31,"Pooler","GA","Savannah","Chatham",3641,1386,0,0.00362056480811007,-0.00144092219020173,6551
2017-08-31,"Town of Kingston","MA","Boston","Plymouth",3642,2059,-0.00771084337349398,-0.0167144221585482,-0.0167144221585482,4008
